"Sector Wise Details"

"1","Railways","259","842708.21 (992533.85)","538550.64"
"2","Coal","118","159637.96 (157375.95)","49200.05"
"3","Oil & Gas","86","348775.78 (377914.55)","185369.27"
"4","Transmission & Distribution","68","150796.17 (157310.91)","59403.74"
"5","Water Resources","39","93740.23 (193594.13)","138529.51"
"6","Electricity Generation","36","273619.55 (332952.95)","161521.88"
"7","Waste & Water","33","10124.72 (10124.72)","40330.65"
"8","Education","30","13373.68 (13012.92)","8462.33"
"9","Aviation & Aviation Infrastructure","26","23049.84 (23511.04)","24797.14"
"10","Urban Public Transport","22","235216.87 (255798.4)","168648.32"
"11","Steel","20","19266.64 (22504.93)","8653.34"
"12","Healthcare","19","8424.21 (9004.56)","5958.28"
"13","Energy Storage","16","81301.48 (120224.17)","93188.65"
"14","Telecommunication","15","152734.45 (274826.98)","77354.94"
"15","Metals & Mining","10","14436.35 (16872.72)","6490.07"
"16","Shipping","10","16923.41 (17089.87)","10374.98"
"17","Real Estate","6","37591.1 (37591.1)","648.73"
"18","Inland Waterways","3","68792.18 (68504.15)","32489.29"
"19","Construction","3","1545.9 (1545.89)","719.36"
"20","Tourism, Hospitality & Wellness","1","573 (1238.05)","496.63"
