"Physical Progress"

"1","0-10","168","369058.14 (369207.01)","33566.81"
"2","10-20","67","446089.06 (453107.23)","35284.46"
"3","20-30","59","105237.84 (105751.61)","21016.65"
"4","30-40","32","46543.46 (54316.21)","16823.82"
"5","40-50","51","152235.66 (156324.9)","72481.12"
"6","50-60","55","188241.04 (206477.27)","134736.93"
"7","60-70","60","141378.93 (157440.31)","100069.83"
"8","70-80","70","196605.91 (251084.35)","171338.69"
"9","80-90","104","361933.85 (618531.65)","368079.92"
"10","90-100","140","522957.11 (683638.98)","618990.81"
"11","100","14","22350.73 (27652.32)","38798.76"
