"Sector Wise Details"

"1","Railways","265","694806.78 (841006.53)","525897.83"
"2","Coal","119","168889.82 (166627.82)","54350.12"
"3","Oil & Gas","90","351248.78 (383479.93)","184032.26"
"4","Transmission & Distribution","61","142976.51 (149491.25)","52183.05"
"5","Water Resources","40","93248.95 (195107.96)","138396.86"
"6","Electricity Generation","35","270283.7 (329636.76)","155932.21"
"7","Waste & Water","33","10124.72 (10124.72)","20705.99"
"8","Education","30","12754.41 (12685.45)","8159.38"
"9","Aviation & Aviation Infrastructure","26","23049.84 (23511.04)","24879.77"
"10","Urban Public Transport","21","223016.77 (243598.3)","159569.88"
"11","Steel","19","16748.25 (19986.54)","7969.76"
"12","Energy Storage","16","81301.48 (120185.17)","90497.54"
"13","Telecommunication","14","150849.85 (272942.38)","72122.54"
"14","Metals & Mining","10","14436.35 (16872.72)","6190.03"
"15","Real Estate","6","37591.1 (37591.1)","552.88"
"16","Shipping","5","4823.34 (4823.34)","2020.93"
"17","Healthcare","4","4848 (5185.95)","2752.22"
"18","Inland Waterways","3","72858.82 (72550.79)","30287.07"
"19","Construction","2","901.9 (901.89)","612.46"
"20","Tourism, Hospitality & Wellness","1","573 (1238.05)","496.63"
