"State Wise Details"

"1","Maharashtra","180","507258.65 (627146.77)","412581.51"
"2","Uttar Pradesh","159","376614.18 (451984.71)","269474.12"
"3","Andhra Pradesh","125","200004.85 (253484.2)","131250.46"
"4","Gujarat","119","415591.9 (516772.67)","374346.57"
"5","Bihar","114","224527.85 (234547.82)","142083.45"
"6","Madhya Pradesh","101","276043.14 (290650.21)","105842.49"
"7","Jharkhand","96","194210.02 (205152)","82010.16"
"8","Karnataka","96","171730.62 (187507.72)","93976.03"
"9","Odisha","95","200733.13 (213051.07)","105025.04"
"10","Assam","87","118789.14 (154841.94)","95308.98"
"11","West Bengal","79","147217.35 (162061.59)","75364.46"
"12","Rajasthan","75","247196.98 (359788.86)","261223.31"
"13","Telangana","72","71522.17 (90305.35)","43061.9"
"14","Chhattisgarh","68","136247.39 (145735.51)","59894.43"
"15","Tamil Nadu","59","165660.89 (176159.38)","61638"
"16","Punjab","48","82350.82 (88861.2)","131194.57"
"17","Jammu & Kashmir","47","60822 (67198.51)","28932.36"
"18","Haryana","37","157609.74 (236918.46)","180916.97"
"19","Manipur","34","41847.27 (51076.89)","36106.77"
"20","Uttarakhand","29","65408.12 (79638.26)","54479.07"
"21","Kerala","29","61451.3 (71147.72)","24529.68"
"22","Himachal Pradesh","27","37962 (46932.99)","107827.02"
"23","Mizoram","25","29497.41 (31230.64)","14685.3"
"24","Nagaland","25","29857.31 (32000.03)","19141.39"
"25","Delhi","22","149255.97 (152295.07)","76581.9"
"26","Arunachal Pradesh","20","65553.31 (90493.52)","46770.25"
"27","Meghalaya","15","21497.25 (22932.59)","13205.77"
"28","Sikkim","15","32785.04 (42154.1)","31399.16"
"29","Tripura","14","21779.92 (23315.3)","12963.85"
"30","Puducherry","5","7000.63 (7414.19)","2653.61"
"31","Goa","5","6928.4 (7229.21)","6693.68"
"32","Ladakh","5","2001.16 (2125.4)","1495.67"
"33","Dadra & Nagar Haveli and Daman & Diu","4","114666 (115408.5)","91796.63"
"34","Andaman & Nicobar","1","209.88 (209.88)","0"
