"Sector Wise Details"

"1","Roads & Highways","863","799040.39 (814341.45)","247872.26"
"2","Railways","251","697517.25 (850970.91)","700909.44"
"3","Coal","118","185977.27 (183715.26)","48546.78"
"4","Oil & Gas","93","353598.97 (382327.64)","191043.75"
"5","Transmission & Distribution","70","206140.79 (212104.36)","61527.48"
"6","Water Resources","39","93740.23 (193594.13)","140375.93"
"7","Electricity Generation","38","310690.33 (369473.34)","154880.77"
"8","Healthcare","37","21179.22 (25630.61)","9754.47"
"9","Waste & Water","31","9664.14 (9732.67)","5777.93"
"10","Education","30","15617.88 (15065.7)","8356.02"
"11","Urban Public Transport","28","335215.64 (355797.17)","205666.48"
"12","Aviation & Aviation Infrastructure","26","21600.76 (22814.76)","9677.27"
"13","Steel","19","18161.41 (21399.7)","8959.01"
"14","Energy Storage","17","81207.16 (120038.39)","96246.4"
"15","Telecommunication","14","151923.46 (274015.99)","77232.29"
"16","Shipping","9","15124.41 (15290.87)","9338.98"
"17","Metals & Mining","7","10044.36 (12480.73)","7172.81"
"18","Real Estate","6","37591.1 (37582.1)","13207.34"
"19","Construction","2","899.37 (899.37)","222.37"
"20","Inland Waterways","2","5546.18 (5258.15)","4149.62"
"21","Tourism, Hospitality & Wellness","1","573 (1238.05)","545.51"
"22","Logistics Infrastructure","1","763 (763)","430"
