"State Wise Details"

"1","Maharashtra","108","408703.59 (527681.39)","357609.4"
"2","Gujarat","73","397607.96 (525462.88)","394515.63"
"3","Jharkhand","64","159298.46 (171098.36)","71213.36"
"4","Odisha","63","181268.62 (189864.84)","93795.09"
"5","Uttar Pradesh","62","250078.33 (336422.4)","266754.07"
"6","West Bengal","58","129564.84 (141866.29)","67125.94"
"7","Rajasthan","54","212893.14 (325116.55)","237371.17"
"8","Madhya Pradesh","54","166095.43 (178215.77)","83662.69"
"9","Andhra Pradesh","51","130551.7 (184356.5)","101854.1"
"10","Chhattisgarh","51","123601.17 (128915.94)","51139.69"
"11","Bihar","49","125377.44 (136380.01)","70793.13"
"12","Karnataka","40","97995.94 (113376.03)","71868.7"
"13","Assam","32","68791.17 (106598.87)","85144.57"
"14","Telangana","31","47368.35 (63929.78)","29725.77"
"15","Delhi","27","136838.1 (137390.09)","52467.4"
"16","Tamil Nadu","20","114834.03 (126585.74)","40378.81"
"17","Haryana","18","129800.26 (206927.45)","171957.43"
"18","Punjab","16","39563.9 (41044.69)","23547.2"
"19","Jammu & Kashmir","14","28221.18 (33998.69)","16163.53"
"20","Himachal Pradesh","11","25881.08 (30480.26)","14310.48"
"21","Arunachal Pradesh","10","101282.16 (162592.27)","104473.14"
"22","Kerala","9","14290.94 (19848.89)","8976.01"
"23","Sikkim","8","29905.83 (39351.55)","29446.5"
"24","Uttarakhand","7","54002.87 (68408.94)","46189.68"
"25","Nagaland","6","23666.28 (25254.95)","17266.31"
"26","Manipur","5","30647.77 (40172.12)","29261.54"
"27","Meghalaya","4","15842.81 (17431.48)","12292.91"
"28","Tripura","4","15241.66 (16752.51)","12218.08"
"29","Mizoram","3","14850.56 (16439.23)","11838.64"
"30","Ladakh","3","1105.6 (1229.84)","870.41"
"31","Goa","3","6060.18 (6438.31)","6106.87"
"32","Dadra & Nagar Haveli and Daman & Diu","3","112756.26 (112756.26)","84091.85"
"33","Puducherry","2","1331.34 (1525.34)","1107.93"
"34","Andaman & Nicobar","1","209.88 (209.88)","0"
