"Physical Progress"

"1","0-10","175","381959.22 (382705.77)","24924.01"
"2","10-20","70","282289.67 (289794.82)","30664.03"
"3","20-30","53","87019.51 (88945.7)","17321.93"
"4","30-40","30","52434.72 (58762.54)","20102.86"
"5","40-50","49","138759.24 (142691.53)","65920.93"
"6","50-60","55","183092.64 (194433.24)","123383.24"
"7","60-70","57","184615.61 (213927.08)","132813.06"
"8","70-80","69","167294.54 (213364.32)","139844.51"
"9","80-90","103","406766.54 (664991.64)","383548.92"
"10","90-100","131","481632.67 (643643.88)","573179.62"
"11","100","8","9468.01 (14287.17)","25906.3"
