model,fold,evaluation_period,threshold,observations_evaluated,unique_projects_evaluated,flagged_review_actions,flagged_percent,unique_projects_flagged,project_flagging_scope,true_errors_captured,false_interventions,error_observations_missed,true_negatives,intervention_precision,precision_status,intervention_recall,recall_status,f1,f1_status,intervention_burden,error_capture_rate,false_interventions_per_true_error_captured,review_workload_ratio,folds,mean_flagged_review_actions,sd_flagged_review_actions,mean_flagged_percent,sd_flagged_percent,mean_true_errors_captured,sd_true_errors_captured,mean_false_interventions,sd_false_interventions,mean_error_observations_missed,sd_error_observations_missed,mean_intervention_precision,sd_intervention_precision,mean_intervention_recall,sd_intervention_recall,mean_f1,sd_f1,mean_intervention_burden,sd_intervention_burden,mean_review_workload_ratio,sd_review_workload_ratio
BASELINE_RANDOM_FOREST,6,2026-04,0.50000000,1667,1667,369,0.22135573,369,ONE_MONTH_UNIQUE,309,60,356,942,0.83739837,DEFINED,0.46466165,DEFINED,0.59767892,DEFINED,0.22135573,0.46466165,0.19417476,0.55488722,6,124.50000000,112.47333017,0.08074629,0.06403484,101.00000000,96.68677952,23.50000000,17.21191448,505.33333333,231.98682913,0.73476995,0.20619726,0.15622005,0.13886736,0.23777582,0.16374072,0.08074629,0.06403484,0.21400136,0.15793128
XGBOOST,1,2025-11,0.40000000,731,731,210,0.28727770,210,ONE_MONTH_UNIQUE,68,142,38,483,0.32380952,DEFINED,0.64150943,DEFINED,0.43037975,DEFINED,0.28727770,0.64150943,2.08823529,1.98113208,6,563.33333333,168.14841328,0.39015700,0.08357617,422.16666667,164.03090833,141.16666667,19.92834386,184.16666667,110.06576317,0.70257384,0.17037975,0.69921672,0.09330863,0.68693079,0.12121280,0.39015700,0.08357617,1.09431572,0.42019285
XGBOOST,1,2025-11,0.50000000,731,731,170,0.23255814,170,ONE_MONTH_UNIQUE,59,111,47,514,0.34705882,DEFINED,0.55660377,DEFINED,0.42753623,DEFINED,0.23255814,0.55660377,1.88135593,1.60377358,6,482.16666667,146.93696683,0.33364433,0.07958310,374.50000000,143.44191624,107.66666667,24.63511496,231.83333333,128.84928750,0.72953299,0.17380495,0.62060808,0.09130538,0.65778729,0.11234993,0.33364433,0.07958310,0.92616825,0.33175154
XGBOOST,2,2025-12,0.40000000,1243,1243,666,0.53580048,666,ONE_MONTH_UNIQUE,493,173,72,505,0.74024024,DEFINED,0.87256637,DEFINED,0.80097482,DEFINED,0.53580048,0.87256637,0.35091278,1.17876106,6,563.33333333,168.14841328,0.39015700,0.08357617,422.16666667,164.03090833,141.16666667,19.92834386,184.16666667,110.06576317,0.70257384,0.17037975,0.69921672,0.09330863,0.68693079,0.12121280,0.39015700,0.08357617,1.09431572,0.42019285
XGBOOST,2,2025-12,0.50000000,1243,1243,598,0.48109413,598,ONE_MONTH_UNIQUE,448,150,117,528,0.74916388,DEFINED,0.79292035,DEFINED,0.77042132,DEFINED,0.48109413,0.79292035,0.33482143,1.05840708,6,482.16666667,146.93696683,0.33364433,0.07958310,374.50000000,143.44191624,107.66666667,24.63511496,231.83333333,128.84928750,0.72953299,0.17380495,0.62060808,0.09130538,0.65778729,0.11234993,0.33364433,0.07958310,0.92616825,0.33175154
XGBOOST,3,2026-01,0.40000000,1453,1453,655,0.45079147,655,ONE_MONTH_UNIQUE,508,147,152,646,0.77557252,DEFINED,0.76969697,DEFINED,0.77262357,DEFINED,0.45079147,0.76969697,0.28937008,0.99242424,6,563.33333333,168.14841328,0.39015700,0.08357617,422.16666667,164.03090833,141.16666667,19.92834386,184.16666667,110.06576317,0.70257384,0.17037975,0.69921672,0.09330863,0.68693079,0.12121280,0.39015700,0.08357617,1.09431572,0.42019285
XGBOOST,3,2026-01,0.50000000,1453,1453,551,0.37921542,551,ONE_MONTH_UNIQUE,443,108,217,685,0.80399274,DEFINED,0.67121212,DEFINED,0.73162675,DEFINED,0.37921542,0.67121212,0.24379233,0.83484848,6,482.16666667,146.93696683,0.33364433,0.07958310,374.50000000,143.44191624,107.66666667,24.63511496,231.83333333,128.84928750,0.72953299,0.17380495,0.62060808,0.09130538,0.65778729,0.11234993,0.33364433,0.07958310,0.92616825,0.33175154
XGBOOST,4,2026-02,0.40000000,1815,1815,724,0.39889807,724,ONE_MONTH_UNIQUE,572,152,353,738,0.79005525,DEFINED,0.61837838,DEFINED,0.69375379,DEFINED,0.39889807,0.61837838,0.26573427,0.78270270,6,563.33333333,168.14841328,0.39015700,0.08357617,422.16666667,164.03090833,141.16666667,19.92834386,184.16666667,110.06576317,0.70257384,0.17037975,0.69921672,0.09330863,0.68693079,0.12121280,0.39015700,0.08357617,1.09431572,0.42019285
XGBOOST,4,2026-02,0.50000000,1815,1815,600,0.33057851,600,ONE_MONTH_UNIQUE,482,118,443,772,0.80333333,DEFINED,0.52108108,DEFINED,0.63213115,DEFINED,0.33057851,0.52108108,0.24481328,0.64864865,6,482.16666667,146.93696683,0.33364433,0.07958310,374.50000000,143.44191624,107.66666667,24.63511496,231.83333333,128.84928750,0.72953299,0.17380495,0.62060808,0.09130538,0.65778729,0.11234993,0.33364433,0.07958310,0.92616825,0.33175154
XGBOOST,5,2026-03,0.40000000,1701,1701,558,0.32804233,558,ONE_MONTH_UNIQUE,442,116,275,868,0.79211470,DEFINED,0.61645746,DEFINED,0.69333333,DEFINED,0.32804233,0.61645746,0.26244344,0.77824268,6,563.33333333,168.14841328,0.39015700,0.08357617,422.16666667,164.03090833,141.16666667,19.92834386,184.16666667,110.06576317,0.70257384,0.17037975,0.69921672,0.09330863,0.68693079,0.12121280,0.39015700,0.08357617,1.09431572,0.42019285
XGBOOST,5,2026-03,0.50000000,1701,1701,489,0.28747795,489,ONE_MONTH_UNIQUE,401,88,316,896,0.82004090,DEFINED,0.55927476,DEFINED,0.66500829,DEFINED,0.28747795,0.55927476,0.21945137,0.68200837,6,482.16666667,146.93696683,0.33364433,0.07958310,374.50000000,143.44191624,107.66666667,24.63511496,231.83333333,128.84928750,0.72953299,0.17380495,0.62060808,0.09130538,0.65778729,0.11234993,0.33364433,0.07958310,0.92616825,0.33175154
XGBOOST,6,2026-04,0.40000000,1667,1667,567,0.34013197,567,ONE_MONTH_UNIQUE,450,117,215,885,0.79365079,DEFINED,0.67669173,DEFINED,0.73051948,DEFINED,0.34013197,0.67669173,0.26000000,0.85263158,6,563.33333333,168.14841328,0.39015700,0.08357617,422.16666667,164.03090833,141.16666667,19.92834386,184.16666667,110.06576317,0.70257384,0.17037975,0.69921672,0.09330863,0.68693079,0.12121280,0.39015700,0.08357617,1.09431572,0.42019285
XGBOOST,6,2026-04,0.50000000,1667,1667,485,0.29094181,485,ONE_MONTH_UNIQUE,414,71,251,931,0.85360825,DEFINED,0.62255639,DEFINED,0.72000000,DEFINED,0.29094181,0.62255639,0.17149758,0.72932331,6,482.16666667,146.93696683,0.33364433,0.07958310,374.50000000,143.44191624,107.66666667,24.63511496,231.83333333,128.84928750,0.72953299,0.17380495,0.62060808,0.09130538,0.65778729,0.11234993,0.33364433,0.07958310,0.92616825,0.33175154
