slice_feature,slice_value,rows,projects,event_rate,roc_auc,precision_at_40,recall_at_40,false_positives,false_negatives,error_rate,sample_status
agency,RVNL - II,50,11,0.140000,0.813953,0.000000,0.000000,0,7,0.140000,INSUFFICIENT_SAMPLE
agency,Rail Land Development Authority,16,3,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Rail Vikas Nigam Limited,11,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Railway,18,3,0.166667,1.000000,0.000000,0.000000,0,3,0.166667,INSUFFICIENT_SAMPLE
agency,Reliance Industries Ltd,5,1,0.000000,,0.000000,0.000000,1,0,0.200000,INSUFFICIENT_SAMPLE
agency,SECL - CIL,16,4,0.187500,0.564103,0.000000,0.000000,0,3,0.187500,INSUFFICIENT_SAMPLE
agency,SECR,46,8,0.065217,0.992248,1.000000,0.333333,0,2,0.043478,INSUFFICIENT_SAMPLE
agency,SR-ERS,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,30,5,0.133333,0.750000,0.428571,0.750000,4,1,0.166667,INSUFFICIENT_SAMPLE
agency,Sikkim University,6,1,0.166667,0.200000,0.000000,0.000000,4,1,0.833333,INSUFFICIENT_SAMPLE
agency,Singareni Collieries Company Limited [SCCL],48,8,0.000000,,0.000000,0.000000,1,0,0.020833,INSUFFICIENT_SAMPLE
agency,South Central Railway [SCR] - I,1,1,1.000000,,0.000000,0.000000,0,1,1.000000,INSUFFICIENT_SAMPLE
agency,South Central Railway [SCR] - II,106,21,0.037736,0.367647,0.000000,0.000000,0,4,0.037736,INSUFFICIENT_SAMPLE
agency,South East Central Railway,11,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,South East Central Railway [SECR] - II,18,3,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,South Eastern Central Railway,4,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,South Eastern Coalfields Limited [SECL],79,14,0.050633,0.953333,0.000000,0.000000,0,4,0.050633,INSUFFICIENT_SAMPLE
agency,South Eastern Railway - JH,8,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,South Eastern Railway [SER] - I,23,4,0.173913,0.921053,0.000000,0.000000,0,4,0.173913,INSUFFICIENT_SAMPLE
agency,South Western Railway [SWR] - II,66,13,0.045455,0.021164,0.000000,0.000000,0,3,0.045455,INSUFFICIENT_SAMPLE
agency,Southern Railway (SR,2,1,1.000000,,0.000000,0.000000,0,2,1.000000,INSUFFICIENT_SAMPLE
agency,Southern Railway [SR] - I,2,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Steel Authority of India Limited [SAIL],88,15,0.306818,0.699454,0.555556,0.185185,4,22,0.295455,INSUFFICIENT_SAMPLE
agency,Sterlite Power,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,THDC India Limited,8,3,0.625000,0.800000,1.000000,0.200000,0,4,0.500000,INSUFFICIENT_SAMPLE
agency,Tezpur University,6,1,0.000000,,0.000000,0.000000,5,0,0.833333,INSUFFICIENT_SAMPLE
agency,Uttar Pradesh metro rail corporation [UPMRC],16,3,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,WPO/Patna,17,3,0.176471,0.333333,0.000000,0.000000,0,3,0.176471,INSUFFICIENT_SAMPLE
agency,Water Resources Department-MN,6,1,0.500000,0.000000,0.000000,0.000000,3,3,1.000000,INSUFFICIENT_SAMPLE
agency,Water Resources-AP,18,3,0.000000,,0.000000,0.000000,4,0,0.222222,INSUFFICIENT_SAMPLE
agency,Water Resources-BR,2,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Water Resources-CT,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Water Resources-KA,6,1,0.000000,,0.000000,0.000000,3,0,0.500000,INSUFFICIENT_SAMPLE
agency,Water Resources-MP,12,2,0.250000,0.703704,0.428571,1.000000,4,0,0.333333,INSUFFICIENT_SAMPLE
agency,Water Resources-OR,6,1,0.000000,,0.000000,0.000000,1,0,0.166667,INSUFFICIENT_SAMPLE
agency,Water resource-mp,3,1,0.666667,0.500000,0.000000,0.000000,0,2,0.666667,INSUFFICIENT_SAMPLE
agency,West Central Railway WCR I,1,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,West Central Railway [WCR] - II,11,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Western Coalfields Limited [WCL],190,32,0.094737,0.838178,0.000000,0.000000,0,18,0.094737,INSUFFICIENT_SAMPLE
agency,Western Railway,11,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Western Railway (WR,15,7,0.400000,0.648148,0.000000,0.000000,0,6,0.400000,INSUFFICIENT_SAMPLE
agency,Western Railway WR - II,13,3,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Western Railway [WR] - II,46,11,0.086957,0.279762,0.000000,0.000000,0,4,0.086957,INSUFFICIENT_SAMPLE
agency,ministry of housing and urban affairs,32,7,0.312500,0.363636,1.000000,0.100000,0,9,0.281250,INSUFFICIENT_SAMPLE
agency,nan,132,52,0.500000,0.655647,0.648148,0.530303,19,31,0.378788,ADEQUATE
age_range,<=3y,3997,1033,0.390043,0.806819,0.771233,0.361129,167,996,0.290968,ADEQUATE
age_range,3-7y,2915,718,0.524871,0.862353,0.835443,0.603922,182,606,0.270326,ADEQUATE
age_range,7-12y,1206,279,0.396352,0.813601,0.733591,0.397490,69,288,0.296020,ADEQUATE
age_range,>12y,492,100,0.144309,0.703757,0.361111,0.366197,46,45,0.184959,ADEQUATE
cost_ratio_range,<=.25,3602,983,0.346197,0.802833,0.630508,0.149158,109,1061,0.324820,ADEQUATE
cost_ratio_range,.25-.50,1750,508,0.517714,0.840076,0.843810,0.488962,82,463,0.311429,ADEQUATE
cost_ratio_range,.50-.75,1529,438,0.587312,0.887452,0.892670,0.759465,82,216,0.194899,ADEQUATE
cost_ratio_range,.75-1,1003,255,0.429711,0.844385,0.745763,0.714617,105,123,0.227318,ADEQUATE
cost_ratio_range,>1,726,163,0.214876,0.749674,0.494118,0.538462,86,72,0.217631,ADEQUATE
