threshold,baseline_observations_evaluated,xgb_observations_evaluated,delta_xgb_minus_baseline_observations_evaluated,baseline_unique_projects_evaluated,xgb_unique_projects_evaluated,delta_xgb_minus_baseline_unique_projects_evaluated,baseline_flagged_review_actions,xgb_flagged_review_actions,delta_xgb_minus_baseline_flagged_review_actions,baseline_flagged_percent,xgb_flagged_percent,delta_xgb_minus_baseline_flagged_percent,baseline_true_errors_captured,xgb_true_errors_captured,delta_xgb_minus_baseline_true_errors_captured,baseline_false_interventions,xgb_false_interventions,delta_xgb_minus_baseline_false_interventions,baseline_error_observations_missed,xgb_error_observations_missed,delta_xgb_minus_baseline_error_observations_missed,baseline_true_negatives,xgb_true_negatives,delta_xgb_minus_baseline_true_negatives,baseline_intervention_precision,xgb_intervention_precision,delta_xgb_minus_baseline_intervention_precision,baseline_intervention_recall,xgb_intervention_recall,delta_xgb_minus_baseline_intervention_recall,baseline_f1,xgb_f1,delta_xgb_minus_baseline_f1,baseline_intervention_burden,xgb_intervention_burden,delta_xgb_minus_baseline_intervention_burden,baseline_error_capture_rate,xgb_error_capture_rate,delta_xgb_minus_baseline_error_capture_rate,baseline_false_interventions_per_true_error_captured,xgb_false_interventions_per_true_error_captured,delta_xgb_minus_baseline_false_interventions_per_true_error_captured,baseline_review_workload_ratio,xgb_review_workload_ratio,delta_xgb_minus_baseline_review_workload_ratio,additional_false_interventions_per_additional_true_error
0.40000000,8610,8610,0,1978,1978,0,2167,3380,1213,0.25168409,0.39256678,0.14088269,1703,2533,830,464,847,383,1935,1105,-830,4508,4125,-383,0.78587910,0.74940828,-0.03647081,0.46811435,0.69626168,0.22814733,0.58673557,0.72185808,0.13512251,0.25168409,0.39256678,0.14088269,0.46811435,0.69626168,0.22814733,0.27246036,0.33438610,0.06192574,0.59565695,0.92908191,0.33342496,0.46144578
0.50000000,8610,8610,0,1978,1978,0,747,2893,2146,0.08675958,0.33600465,0.24924506,606,2247,1641,141,646,505,3032,1391,-1641,4831,4326,-505,0.81124498,0.77670239,-0.03454259,0.16657504,0.61764706,0.45107202,0.27639681,0.68810289,0.41170609,0.08675958,0.33600465,0.24924506,0.16657504,0.61764706,0.45107202,0.23267327,0.28749444,0.05482117,0.20533260,0.79521715,0.58988455,0.30773918
