"State Wise Details"

"1","Maharashtra","212","542172.58 (666446.46)","428925.08"
"2","Uttar Pradesh","177","396749.25 (472008.46)","262117.33"
"3","Andhra Pradesh","138","211024.61 (264097.7)","143210.64"
"4","Bihar","129","246061.51 (256634.85)","102049.23"
"5","Madhya Pradesh","123","307764.77 (318694.68)","121098.26"
"6","Gujarat","122","421445.52 (523895.4)","383975.92"
"7","Karnataka","118","197250.72 (216195.46)","109559.32"
"8","Odisha","108","209629.14 (225905.05)","122551.83"
"9","Jharkhand","104","201981.94 (212953.77)","86550.63"
"10","Telangana","89","85852 (105464.41)","51531.67"
"11","Assam","88","120333.35 (156431.72)","100535.52"
"12","West Bengal","84","150362.19 (164314.55)","79175.37"
"13","Rajasthan","81","250081.55 (361596.29)","267985.62"
"14","Chhattisgarh","78","145258.09 (155650.93)","65870.18"
"15","Tamil Nadu","70","176925.25 (185610.61)","68652.31"
"16","Punjab","53","86902.9 (93488.75)","44058.79"
"17","Uttarakhand","51","73824.5 (83851.77)","51397.53"
"18","Jammu & Kashmir","47","60382.03 (66609.58)","31106.24"
"19","Haryana","43","166862.27 (246832.68)","186922.28"
"20","Manipur","36","42345.22 (51574.84)","36934.81"
"21","Kerala","32","72129.16 (83910.38)","29787.27"
"22","Himachal Pradesh","32","42738.35 (53032.35)","22247.89"
"23","Mizoram","25","29497.41 (31230.64)","15053.26"
"24","Nagaland","25","29857.31 (32000.03)","19738.13"
"25","Delhi","23","123354.9 (128248.94)","57607.13"
"26","Arunachal Pradesh","22","66941.63 (91921.74)","48506.43"
"27","Sikkim","17","33314.72 (42915.98)","32720.04"
"28","Meghalaya","16","21991.77 (23362.29)","13943.25"
"29","Tripura","13","21323.04 (22858.42)","13214.17"
"30","Goa","7","7789.73 (7943.74)","6800.9"
"31","Puducherry","6","8358.94 (8576.63)","3952.36"
"32","Dadra & Nagar Haveli and Daman & Diu","5","114864.06 (115648.07)","95662.59"
"33","Andaman & Nicobar","4","863.85 (1291.36)","0"
"34","Ladakh","4","1664.27 (1824.27)","1326.9"
