"Sector Wise Details"

"1","Roads & Highways","1120","1034561.22 (1060739.73)","351917.45"
"2","Railways","246","690682.92 (841906.58)","571254.58"
"3","Coal","119","189003.44 (186741.43)","49559.67"
"4","Oil & Gas","93","363711.6 (392245.55)","198328.45"
"5","Transmission & Distribution","68","203786.64 (209750.21)","65534.82"
"6","Water Resources","41","117826.11 (221647.32)","159574.65"
"7","Healthcare","36","20969.86 (25421.25)","10008.54"
"8","Electricity Generation","36","303249.73 (358519.34)","156578.82"
"9","Waste & Water","30","9428.41 (9496.94)","5639.26"
"10","Education","30","15617.88 (15065.7)","8781.28"
"11","Aviation & Aviation Infrastructure","26","21600.76 (22814.76)","10583.3"
"12","Urban Public Transport","26","299557.47 (320189)","180184.42"
"13","Steel","18","17811.66 (21049.95)","9797.06"
"14","Energy Storage","15","80140.16 (118910.68)","100403.08"
"15","Telecommunication","12","151125.15 (273253.44)","77020.95"
"16","Shipping","7","14726.15 (14766.76)","9770.72"
"17","Metals & Mining","6","9689.36 (11899.73)","7407.84"
"18","Real Estate","6","37591.1 (37582.1)","14977.01"
"19","Construction","2","899.37 (899.37)","260.49"
"20","Inland Waterways","2","5546.18 (5258.15)","4340"
"21","Tourism, Hospitality & Wellness","1","573 (1238.05)","611.24"
"22","Logistics Infrastructure","1","763 (763)","430"
