"State Wise Details"

"1","Maharashtra","162","493558.1 (611218.67)","396863.94"
"2","Uttar Pradesh","120","299855.03 (376439.84)","261553.31"
"3","Andhra Pradesh","102","176614.11 (230870.67)","121981.56"
"4","Bihar","97","182856.83 (191794.13)","141041.82"
"5","Gujarat","97","378256.01 (476486.48)","359662.36"
"6","Jharkhand","85","193068.88 (204030.85)","84908.77"
"7","Odisha","85","190500.45 (202191.92)","102761.29"
"8","Madhya Pradesh","77","204021.97 (218560.02)","92265.52"
"9","West Bengal","72","142002.58 (156778.23)","73922.88"
"10","Karnataka","70","140095.19 (155173.84)","87702.86"
"11","Rajasthan","69","217412.95 (328492.6)","246815.92"
"12","Assam","66","98017.38 (133012.19)","85302"
"13","Telangana","64","63351.33 (81524.5)","41032.32"
"14","Chhattisgarh","62","131321.36 (140402.73)","57869.78"
"15","Tamil Nadu","45","151965.55 (163654.12)","58247.9"
"16","Punjab","39","70472.29 (75152.44)","127749.5"
"17","Jammu & Kashmir","33","50659.06 (56480.41)","26040.18"
"18","Manipur","28","39986.65 (49216.27)","34905.07"
"19","Kerala","26","58672.27 (67012.35)","23319.33"
"20","Haryana","25","137386.26 (214605.28)","177431.8"
"21","Himachal Pradesh","24","34965.13 (42938.03)","106359.59"
"22","Nagaland","24","29533.33 (31676.05)","18412.67"
"23","Delhi","19","133694.17 (134853.51)","52506.66"
"24","Uttarakhand","18","61030.95 (75214.72)","50901.06"
"25","Arunachal Pradesh","16","61698.52 (86638.73)","46251.95"
"26","Mizoram","15","22069.22 (23802.45)","12836.17"
"27","Sikkim","14","32535.04 (41518.89)","30259.5"
"28","Meghalaya","13","19980.87 (21504.72)","12888.42"
"29","Tripura","12","20132.36 (21667.74)","12663.22"
"30","Goa","5","6928.4 (7229.21)","6677.59"
"31","Ladakh","5","2001.16 (2125.4)","721.79"
"32","Puducherry","4","5819.51 (5841.01)","2452.55"
"33","Dadra & Nagar Haveli and Daman & Diu","3","112756.26 (112756.26)","89696.38"
"34","Andaman & Nicobar","1","209.88 (209.88)","0"
