"Sector Wise Details"

"1","Roads & Highways","584","527441.16 (537798.67)","185963.95"
"2","Railways","251","705752.59 (856854.01)","688175.12"
"3","Coal","115","158367.68 (156105.67)","48265.26"
"4","Oil & Gas","93","353462.93 (381880.79)","191900.78"
"5","Transmission & Distribution","63","152121.4 (158084.97)","59380.79"
"6","Water Resources","39","93740.23 (193594.13)","140622.27"
"7","Electricity Generation","37","280742.33 (339525.34)","150605.54"
"8","Waste & Water","31","9664.14 (9688.47)","5739.31"
"9","Education","29","15418.91 (14866.73)","8254.39"
"10","Aviation & Aviation Infrastructure","25","21237.66 (22451.66)","9260.93"
"11","Urban Public Transport","25","311946.96 (332528.49)","203575.23"
"12","Healthcare","22","16604.22 (18612.53)","5998.04"
"13","Steel","19","18161.41 (21399.7)","8617.56"
"14","Energy Storage","18","81884.05 (120754.28)","95874.25"
"15","Telecommunication","14","151923.46 (274015.99)","77210.74"
"16","Shipping","9","15124.41 (15290.87)","9130.93"
"17","Metals & Mining","7","10044.36 (12480.73)","6920.98"
"18","Real Estate","6","37591.1 (37591.1)","810.96"
"19","Inland Waterways","2","5546.18 (5258.15)","4100.49"
"20","Construction","2","899.37 (899.37)","209.57"
"21","Tourism, Hospitality & Wellness","1","573 (1238.05)","545.51"
