"State Wise Details"

"1","Maharashtra","215","545731.48 (670461.98)","424126.28"
"2","Uttar Pradesh","180","429013.4 (504586.99)","286639.37"
"3","Andhra Pradesh","141","207321 (260802.22)","135941.47"
"4","Gujarat","127","429276.67 (531759.28)","383145.07"
"5","Bihar","125","240033.81 (249863.59)","96430.33"
"6","Madhya Pradesh","125","311491.93 (324070.84)","120464"
"7","Karnataka","121","201206.49 (221539.6)","106628.39"
"8","Odisha","108","209683.81 (226185.72)","117770.33"
"9","Jharkhand","103","200605.38 (211472.19)","84515.18"
"10","Assam","89","120747.03 (156799.83)","98670.14"
"11","Telangana","88","85474.18 (105123.11)","47566.19"
"12","West Bengal","86","151520.45 (165472.81)","78190.43"
"13","Rajasthan","81","250247.95 (361726.93)","264451.69"
"14","Chhattisgarh","79","145607.84 (156000.68)","63138.07"
"15","Tamil Nadu","70","176320.25 (182712.87)","63410.1"
"16","Punjab","54","88428.21 (95425.29)","45296.37"
"17","Jammu & Kashmir","49","62939.64 (69316.15)","30884.54"
"18","Uttarakhand","48","76978.62 (91601.92)","56935.86"
"19","Haryana","44","167232.27 (247202.68)","185792.8"
"20","Manipur","34","41306.42 (50536.04)","35718.08"
"21","Himachal Pradesh","33","45165.7 (55291.16)","22437.9"
"22","Kerala","31","70697.16 (80124.93)","26185.09"
"23","Mizoram","25","29497.41 (31230.64)","14822.93"
"24","Nagaland","25","29857.31 (32000.03)","19497.61"
"25","Delhi","24","153628.9 (158522.94)","81628.2"
"26","Arunachal Pradesh","22","66941.63 (91921.74)","47744.71"
"27","Sikkim","17","33314.72 (42915.98)","32007.15"
"28","Meghalaya","15","21497.25 (22932.59)","13294.61"
"29","Tripura","13","21323.04 (22858.42)","13038.77"
"30","Goa","7","7789.73 (7943.74)","6782.69"
"31","Puducherry","6","8358.94 (8576.63)","3736.95"
"32","Dadra & Nagar Haveli and Daman & Diu","5","114864.06 (115648.07)","92998.89"
"33","Andaman & Nicobar","4","863.85 (1291.36)","0"
"34","Ladakh","4","1602.79 (1727.03)","1276.19"
