"Physical Progress"

"1","0-10","291","566383.95 (564502.81)","31616.87"
"2","10-20","127","292504.17 (294890.11)","33122.82"
"3","20-30","125","239194.17 (235596.18)","37169.38"
"4","30-40","98","144451.41 (149584)","42500.66"
"5","40-50","114","237011.7 (237473.8)","97176.55"
"6","50-60","126","246704.72 (264285.95)","153583.17"
"7","60-70","120","155867.48 (169287.35)","88878.76"
"8","70-80","177","314019.74 (354923)","227374.08"
"9","80-90","209","414309.31 (641760.03)","323079.99"
"10","90-100","470","936466.27 (1189954.21)","885830.02"
"11","100","91","85175.4 (96426.84)","51123.52"
