report_month,state,project_count,original_cost_crores,revised_cost_crores,expenditure_crores,source_file,source_type
2025-08,Chhattisgarh,51.0,123601.17,128915.94,51139.69,State-Wise-Report.csv,aggregate_csv
2025-08,Bihar,49.0,125377.44,136380.01,70793.13,State-Wise-Report.csv,aggregate_csv
2025-08,Karnataka,40.0,97995.94,113376.03,71868.7,State-Wise-Report.csv,aggregate_csv
2025-08,Assam,32.0,68791.17,106598.87,85144.57,State-Wise-Report.csv,aggregate_csv
2025-08,Telangana,31.0,47368.35,63929.78,29725.77,State-Wise-Report.csv,aggregate_csv
2025-08,Delhi,27.0,136838.1,137390.09,52467.4,State-Wise-Report.csv,aggregate_csv
2025-08,Madhya Pradesh,54.0,166095.43,178215.77,83662.69,State-Wise-Report.csv,aggregate_csv
2025-09,Himachal Pradesh,11.0,25881.08,30480.26,14495.05,State-Wise-Report.csv,aggregate_csv
2025-09,Nagaland,6.0,23666.28,25254.95,17524.86,State-Wise-Report.csv,aggregate_csv
2025-09,Arunachal Pradesh,11.0,101491.54,162801.65,104808.59,State-Wise-Report.csv,aggregate_csv
2025-09,Kerala,10.0,16089.94,21632.08,10386.58,State-Wise-Report.csv,aggregate_csv
2025-09,Sikkim,8.0,29905.83,39351.55,29561.28,State-Wise-Report.csv,aggregate_csv
2025-09,Uttarakhand,7.0,54002.87,68408.94,46396.68,State-Wise-Report.csv,aggregate_csv
2025-09,Manipur,5.0,30647.77,40172.12,29312.67,State-Wise-Report.csv,aggregate_csv
2025-09,Andaman & Nicobar,1.0,209.88,209.88,0.0,State-Wise-Report.csv,aggregate_csv
2025-09,Tripura,4.0,15241.66,16752.51,12275.02,State-Wise-Report.csv,aggregate_csv
2025-09,Mizoram,3.0,14850.56,16439.23,11889.77,State-Wise-Report.csv,aggregate_csv
2025-09,Ladakh,3.0,1105.6,1229.84,926.56,State-Wise-Report.csv,aggregate_csv
2025-09,Goa,3.0,6060.18,6438.31,6131.17,State-Wise-Report.csv,aggregate_csv
2025-09,Dadra & Nagar Haveli and Daman & Diu,3.0,112756.26,112756.26,85453.18,State-Wise-Report.csv,aggregate_csv
2025-09,Puducherry,2.0,1331.34,1525.34,1107.93,State-Wise-Report.csv,aggregate_csv
2025-09,Jammu & Kashmir,14.0,28221.18,34037.69,16446.59,State-Wise-Report.csv,aggregate_csv
