report_month,sector,project_count,original_cost_crores,revised_cost_crores,expenditure_crores,source_file,source_type
2025-09,Education,29.0,12467.21,12401.18,7891.19,Sector-Wise-Report.csv,aggregate_csv
2025-09,Urban Public Transport,22.0,235216.87,255798.4,167262.65,Sector-Wise-Report.csv,aggregate_csv
2025-10,Healthcare,19.0,8424.21,9004.56,5958.28,Sector-Wise-Report.csv,aggregate_csv
2025-10,Construction,3.0,1545.9,1545.89,719.36,Sector-Wise-Report.csv,aggregate_csv
2025-10,Inland Waterways,3.0,68792.18,68504.15,32489.29,Sector-Wise-Report.csv,aggregate_csv
2025-10,Real Estate,6.0,37591.1,37591.1,648.73,Sector-Wise-Report.csv,aggregate_csv
2025-10,Shipping,10.0,16923.41,17089.87,10374.98,Sector-Wise-Report.csv,aggregate_csv
2025-10,Metals & Mining,10.0,14436.35,16872.72,6490.07,Sector-Wise-Report.csv,aggregate_csv
2025-10,Telecommunication,15.0,152734.45,274826.98,77354.94,Sector-Wise-Report.csv,aggregate_csv
2025-10,Energy Storage,16.0,81301.48,120224.17,93188.65,Sector-Wise-Report.csv,aggregate_csv
2025-10,Steel,20.0,19266.64,22504.93,8653.34,Sector-Wise-Report.csv,aggregate_csv
2025-10,"Tourism, Hospitality & Wellness",1.0,573.0,1238.05,496.63,Sector-Wise-Report.csv,aggregate_csv
2025-10,Aviation & Aviation Infrastructure,26.0,23049.84,23511.04,24797.14,Sector-Wise-Report.csv,aggregate_csv
2025-10,Railways,259.0,842708.21,992533.85,538550.64,Sector-Wise-Report.csv,aggregate_csv
2025-10,Coal,118.0,159637.96,157375.95,49200.05,Sector-Wise-Report.csv,aggregate_csv
2025-10,Oil & Gas,86.0,348775.78,377914.55,185369.27,Sector-Wise-Report.csv,aggregate_csv
2025-10,Transmission & Distribution,68.0,150796.17,157310.91,59403.74,Sector-Wise-Report.csv,aggregate_csv
2025-10,Urban Public Transport,22.0,235216.87,255798.4,168648.32,Sector-Wise-Report.csv,aggregate_csv
2025-10,Electricity Generation,36.0,273619.55,332952.95,161521.88,Sector-Wise-Report.csv,aggregate_csv
2025-10,Waste & Water,33.0,10124.72,10124.72,40330.65,Sector-Wise-Report.csv,aggregate_csv
2025-10,Education,30.0,13373.68,13012.92,8462.33,Sector-Wise-Report.csv,aggregate_csv
2025-10,Water Resources,39.0,93740.23,193594.13,138529.51,Sector-Wise-Report.csv,aggregate_csv
2025-11,Steel,20.0,19266.64,22504.93,8979.27,Sector-Wise-Report.csv,aggregate_csv
2025-11,Construction,2.0,899.37,899.37,194.43,Sector-Wise-Report.csv,aggregate_csv
2025-11,Inland Waterways,3.0,68792.18,68504.15,33296.83,Sector-Wise-Report.csv,aggregate_csv
