"Sector Wise Details"

"1","Railways","250","816697.63 (965840.63)","533163.69"
"2","Coal","120","174830.29 (172568.29)","56468.92"
"3","Oil & Gas","89","349435.78 (378612.78)","182908.81"
"4","Transmission & Distribution","65","149516.43 (156031.17)","57066.68"
"5","Water Resources","39","93740.23 (193594.13)","137305.9"
"6","Electricity Generation","35","270283.7 (329636.76)","160639.77"
"7","Waste & Water","33","10124.72 (10124.72)","34842.36"
"8","Education","29","12467.21 (12401.18)","7891.19"
"9","Aviation & Aviation Infrastructure","26","23049.84 (23511.04)","24583.31"
"10","Urban Public Transport","22","235216.87 (255798.4)","167262.65"
"11","Steel","20","19266.64 (22504.93)","8277.97"
"12","Energy Storage","16","81301.48 (120224.17)","91358.55"
"13","Telecommunication","15","152734.45 (274826.98)","72372.76"
"14","Metals & Mining","10","14436.35 (16872.72)","6382.86"
"15","Shipping","7","16499.18 (16499.18)","9272.35"
"16","Real Estate","6","37591.1 (37591.1)","646.25"
"17","Healthcare","4","4848 (5185.95)","2794.65"
"18","Inland Waterways","3","68792.18 (68504.15)","31128.36"
"19","Construction","3","1545.9 (1545.89)","710.67"
"20","Logistics Infrastructure","1","171 (211.61)","137.51"
"21","Tourism, Hospitality & Wellness","1","573 (1238.05)","496.63"
