"Physical Progress"

"1","0-10","162","348004.54 (348232.75)","27511.01"
"2","10-20","68","308121.81 (315947.59)","34397.19"
"3","20-30","62","108753.34 (109066.06)","20895.63"
"4","30-40","36","60466.12 (67329.87)","19289.5"
"5","40-50","48","143445.17 (145779.49)","64130.51"
"6","50-60","58","186198.55 (210734.34)","137725.63"
"7","60-70","53","128426.99 (136262.04)","80816.34"
"8","70-80","76","222205.01 (287790.57)","194278.48"
"9","80-90","102","347228.62 (596151.62)","347373.47"
"10","90-100","147","542376.19 (708409.51)","622589.18"
"11","100","11","22971.96 (29082.79)","25934.98"
