"State Wise Details"

"1","Maharashtra","114","435372.53 (554677.16)","379894.49"
"2","Gujarat","75","395988.91 (525967.16)","402024.94"
"3","Jharkhand","67","170388.09 (181863.35)","73353.53"
"4","Odisha","61","179356.17 (189046.89)","98183.04"
"5","West Bengal","61","134308.04 (148733.14)","70283.82"
"6","Uttar Pradesh","60","247935.17 (332784.47)","250843.3"
"7","Madhya Pradesh","58","172508.27 (187060.59)","84210.29"
"8","Rajasthan","55","213267.5 (324938.91)","244937.07"
"9","Bihar","53","132581.37 (143769.91)","72565.33"
"10","Andhra Pradesh","52","133571.8 (188108.37)","104758.91"
"11","Chhattisgarh","51","121342.23 (129647.3)","53182.02"
"12","Karnataka","46","104499.78 (120129.87)","73388.15"
"13","Telangana","34","47041.55 (63602.98)","33160.19"
"14","Assam","33","68312.88 (102952.1)","82231.3"
"15","Delhi","27","139411.5 (139414.43)","53496.64"
"16","Tamil Nadu","20","114627.68 (126405.91)","43930.9"
"17","Haryana","17","128134.26 (205056.88)","172309.3"
"18","Punjab","15","39196.9 (40648.05)","24105.36"
"19","Jammu & Kashmir","13","27745.4 (33928.63)","16676.95"
"20","Himachal Pradesh","11","25881.08 (31626.71)","14967.86"
"21","Kerala","11","16947.94 (22490.53)","9365.35"
"22","Arunachal Pradesh","11","101491.54 (162801.65)","108201.68"
"23","Uttarakhand","8","54105.27 (68706.57)","46938.78"
"24","Sikkim","8","29905.83 (38993.6)","29809.05"
"25","Nagaland","6","23666.28 (25254.95)","17940.18"
"26","Manipur","6","31554.24 (40783.86)","30354.92"
"27","Meghalaya","4","15842.81 (17431.48)","12649.52"
"28","Mizoram","4","15076.27 (16664.94)","12199.56"
"29","Tripura","4","15241.66 (16752.51)","12609.16"
"30","Goa","3","6060.18 (6438.31)","6370.26"
"31","Dadra & Nagar Haveli and Daman & Diu","3","112756.26 (112756.26)","88518.84"
"32","Ladakh","2","816.89 (941.13)","719.08"
"33","Puducherry","2","1331.34 (1525.34)","1128.32"
"34","Andaman & Nicobar","1","209.88 (209.88)","0"
