project_code,identity_key,prediction_month,state,sector,ministry,agency,project_age_months,progress_current,expenditure_current,original_cost_current,revised_cost_current,effective_target_months_from_cutoff,progress_change_1m,progress_change_3m,progress_velocity_3m,progress_acceleration_3m,expenditure_change_1m,expenditure_change_3m,expenditure_velocity_3m,cost_revision_count_to_date,last_cost_revision_pct,months_since_cost_revision,schedule_revision_count_to_date,months_since_schedule_revision,months_since_material_progress_change,expenditure_to_original_cost,expenditure_to_revised_cost,cost_revision_pct_current,months_observed,months_since_first_observation,revised_cost_missing,progress_missing,future_cost_increase_5pct_6m
400010,P:400010,2025-11,Ladakh,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],86.000000,78.000000,483.120000,480.000000,640.000000,8.000000,1.000000,7.000000,2.333333,-5.000000,11.530000,48.330000,16.110000,0,,,1,0.000000,0.000000,1.006500,0.754875,0.333333,5,4,0,0,0
400010,P:400010,2025-12,Ladakh,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],87.000000,78.000000,484.600000,480.000000,640.000000,7.000000,0.000000,7.000000,2.333333,-1.000000,1.480000,28.380000,9.460000,0,,,1,1.000000,1.000000,1.009583,0.757188,0.333333,6,5,0,0,0
400010,P:400010,2026-01,Ladakh,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],88.000000,78.000000,492.210000,480.000000,640.000000,6.000000,0.000000,1.000000,0.333333,0.000000,7.610000,20.620000,6.873333,0,,,1,2.000000,2.000000,1.025438,0.769078,0.333333,7,6,0,0,0
400012,P:400012,2025-07,"Pradesh, Uttar 12/2025, Pradesh",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,79.000000,92.000000,7598.130000,10088.000000,,,,,,,,,,0,,,0,,,0.753185,,0.000000,1,0,1,0,0
400012,P:400012,2025-08,"Pradesh, Uttar, Pradesh",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,80.000000,92.000000,7672.230000,10088.000000,,4.000000,0.000000,,,,74.100000,,,0,,,0,,,0.760530,,0.000000,2,1,1,0,0
400012,P:400012,2025-09,"Pradesh, Uttar, Pradesh",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,81.000000,93.000000,7979.860000,10088.000000,,3.000000,1.000000,,,1.000000,307.630000,,,0,,,0,,0.000000,0.791025,,0.000000,3,2,1,0,0
400012,P:400012,2025-10,"Pradesh, Uttar, Pradesh",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,82.000000,93.000000,8059.530000,10088.000000,,2.000000,0.000000,1.000000,0.333333,-1.000000,79.670000,461.400000,153.800000,0,,,0,,1.000000,0.798922,,0.000000,4,3,1,0,0
400012,P:400012,2025-11,"Pradesh, Uttar, Pradesh",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,83.000000,93.000000,8135.690000,10088.000000,,1.000000,0.000000,1.000000,0.333333,0.000000,76.160000,463.460000,154.486667,0,,,0,,2.000000,0.806472,,0.000000,5,4,1,0,0
400012,P:400012,2025-12,"Pradesh, Uttar, Pradesh",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,84.000000,94.000000,8217.690000,10088.000000,,3.000000,1.000000,1.000000,0.333333,1.000000,82.000000,237.830000,79.276667,0,,,1,0.000000,0.000000,0.814601,,0.000000,6,5,1,0,0
400012,P:400012,2026-01,"Pradesh, Uttar, Pradesh",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,85.000000,94.000000,8056.600000,10088.000000,,2.000000,0.000000,1.000000,0.333333,-1.000000,-161.090000,-2.930000,-0.976667,0,,,1,1.000000,1.000000,0.798632,,0.000000,7,6,1,0,0
400013,P:400013,2025-08,,Telecommunication,Department of Telecommunications,Department of Telecommunications [DoT],37.000000,73.000000,9791.800000,26316.000000,30620.000000,7.000000,1.000000,,,,500.000000,,,0,,,0,,0.000000,0.372085,0.319784,0.163551,2,1,0,0,0
400018,P:400018,2025-07,Jharkhand,Coal,Ministry of Coal,ECL - CIL,35.000000,62.000000,450.470000,859.410000,859.410000,,,,,,,,,0,,,0,,,0.524162,0.524162,0.000000,1,0,0,0,0
400018,P:400018,2025-08,Jharkhand,Coal,Ministry of Coal,ECL - CIL,36.000000,62.000000,450.760000,859.410000,859.410000,43.000000,0.000000,,,,0.290000,,,0,,,0,,,0.524499,0.524499,0.000000,2,1,0,0,0
