project_code,identity_key,prediction_month,state,sector,ministry,agency,project_age_months,progress_current,expenditure_current,original_cost_current,revised_cost_current,effective_target_months_from_cutoff,progress_change_1m,progress_change_3m,progress_velocity_3m,progress_acceleration_3m,expenditure_change_1m,expenditure_change_3m,expenditure_velocity_3m,cost_revision_count_to_date,last_cost_revision_pct,months_since_cost_revision,schedule_revision_count_to_date,months_since_schedule_revision,months_since_material_progress_change,expenditure_to_original_cost,expenditure_to_revised_cost,cost_revision_pct_current,months_observed,months_since_first_observation,revised_cost_missing,progress_missing,future_schedule_later_3m
400022,P:400022,2025-09,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],38.000000,16.000000,1931.660000,2798.000000,2798.000000,58.000000,1.000000,,,0.000000,16.280000,,,0,,,0,,0.000000,0.690372,0.690372,0.000000,3,2,0,0,0
400022,P:400022,2025-10,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],39.000000,17.000000,2014.600000,2798.000000,2798.000000,57.000000,1.000000,3.000000,1.000000,0.000000,82.940000,122.700000,40.900000,0,,,0,,0.000000,0.720014,0.720014,0.000000,4,3,0,0,0
400022,P:400022,2025-11,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],40.000000,17.000000,2037.040000,2798.000000,2798.000000,56.000000,0.000000,2.000000,0.666667,-1.000000,22.440000,121.660000,40.553333,0,,,0,,1.000000,0.728034,0.728034,0.000000,5,4,0,0,0
400022,P:400022,2025-12,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],41.000000,17.000000,2098.090000,2798.000000,2798.000000,55.000000,0.000000,1.000000,0.333333,0.000000,61.050000,166.430000,55.476667,0,,,0,,2.000000,0.749853,0.749853,0.000000,6,5,0,0,0
400022,P:400022,2026-01,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],42.000000,20.000000,2181.960000,2798.000000,2798.000000,54.000000,3.000000,3.000000,1.000000,3.000000,83.870000,167.360000,55.786667,0,,,0,,0.000000,0.779828,0.779828,0.000000,7,6,0,0,0
400022,P:400022,2026-02,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],43.000000,30.000000,2311.660000,2798.000000,2798.000000,53.000000,10.000000,13.000000,4.333333,7.000000,129.700000,274.620000,91.540000,0,,,0,,0.000000,0.826183,0.826183,0.000000,8,7,0,0,0
400022,P:400022,2026-03,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],44.000000,30.000000,2321.810000,2798.000000,2798.000000,52.000000,0.000000,13.000000,4.333333,-10.000000,10.150000,223.720000,74.573333,0,,,0,,1.000000,0.829811,0.829811,0.000000,9,8,0,0,0
400022,P:400022,2026-04,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],45.000000,37.000000,2439.320000,2798.000000,2798.000000,51.000000,7.000000,17.000000,5.666667,7.000000,117.510000,257.360000,85.786667,0,,,0,,0.000000,0.871808,0.871808,0.000000,10,9,0,0,0
400023,P:400023,2025-07,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,-5.000000,0.000000,0.000000,749.000000,749.000000,21.000000,,,,,,,,0,,,0,,,0.000000,0.000000,0.000000,1,0,0,0,0
400023,P:400023,2025-08,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,-4.000000,0.000000,0.000000,749.000000,749.000000,20.000000,0.000000,,,,0.000000,,,0,,,0,,,0.000000,0.000000,0.000000,2,1,0,0,0
400023,P:400023,2025-10,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,-2.000000,0.000000,0.000000,749.000000,749.000000,18.000000,,0.000000,0.000000,,,0.000000,0.000000,0,,,0,,,0.000000,0.000000,0.000000,3,3,0,0,0
400023,P:400023,2025-11,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,-1.000000,0.000000,0.000000,749.000000,749.000000,17.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0,,,0,,,0.000000,0.000000,0.000000,4,4,0,0,0
400023,P:400023,2025-12,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,0.000000,0.000000,0.000000,749.000000,749.000000,16.000000,0.000000,,,0.000000,0.000000,,,0,,,0,,,0.000000,0.000000,0.000000,5,5,0,0,0
400023,P:400023,2026-01,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,1.000000,0.000000,0.940000,749.000000,749.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.940000,0.940000,0.313333,0,,,0,,,0.001255,0.001255,0.000000,6,6,0,0,0
400023,P:400023,2026-02,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,2.000000,0.000000,0.940000,749.000000,749.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.940000,0.313333,0,,,0,,,0.001255,0.001255,0.000000,7,7,0,0,1
400023,P:400023,2026-03,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,3.000000,0.300000,0.940000,749.000000,749.000000,13.000000,0.300000,0.300000,0.100000,0.300000,0.000000,0.940000,0.313333,0,,,0,,,0.001255,0.001255,0.000000,8,8,0,0,1
