"Physical Progress"

"1","0-10","263","583075.57 (582366.56)","34794.39"
"2","10-20","127","317668.64 (321832.78)","36715.3"
"3","20-30","116","230319.33 (227753.15)","37618.03"
"4","30-40","114","176933.31 (178976.31)","50606.99"
"5","40-50","112","159105.36 (160386.92)","61437.08"
"6","50-60","127","321989.11 (339429.58)","201781.35"
"7","60-70","130","171749.23 (182225.75)","93034.63"
"8","70-80","164","275707.43 (311631.27)","201919.38"
"9","80-90","228","449416.6 (683948.11)","361703.17"
"10","90-100","503","947105.92 (1204206.73)","914361.38"
"11","100","97","79591.51 (85645.23)","42135.79"
