"State Wise Details"

"1","Maharashtra","213","542567.88 (667045.23)","431680.03"
"2","Uttar Pradesh","182","401452.12 (476742.08)","266899.6"
"3","Andhra Pradesh","142","218753.69 (271824.5)","146693.06"
"4","Bihar","133","257120.33 (267926.01)","105218.06"
"5","Madhya Pradesh","125","309604.06 (322477.61)","124125.98"
"6","Karnataka","123","222193.94 (241138.68)","113040.36"
"7","Gujarat","123","425591.21 (527736.01)","388320.33"
"8","Odisha","113","223598.41 (239874.32)","125308.58"
"9","Jharkhand","105","201577.27 (212549.1)","87527.84"
"10","Telangana","91","87533.63 (107153.24)","52339.46"
"11","Assam","90","122133.56 (158231.93)","102650.67"
"12","West Bengal","82","147446.81 (161399.17)","79608.82"
"13","Rajasthan","81","255480.73 (366995.47)","272004.83"
"14","Chhattisgarh","78","145258.09 (156041.9)","66976.2"
"15","Tamil Nadu","70","177373.73 (187518.08)","71112.04"
"16","Punjab","56","90524.59 (97124.01)","47644.83"
"17","Uttarakhand","51","73824.5 (83906.8)","51788.57"
"18","Jammu & Kashmir","47","60382.03 (66609.58)","31898.6"
"19","Haryana","42","166649.08 (246619.49)","188087"
"20","Manipur","36","42345.22 (51574.84)","37075.91"
"21","Himachal Pradesh","34","45627.3 (55947.21)","25144.55"
"22","Kerala","33","75934.16 (88105.38)","31194.14"
"23","Arunachal Pradesh","25","89510.4 (114490.51)","49213.84"
"24","Mizoram","25","29497.41 (31230.64)","15194.92"
"25","Nagaland","25","29857.31 (32000.03)","20074.39"
"26","Delhi","24","124061.9 (128955.94)","58781.19"
"27","Meghalaya","18","31620.67 (33009.19)","15612.23"
"28","Sikkim","17","33314.72 (42915.98)","33117.78"
"29","Tripura","13","21323.04 (22858.42)","13645.42"
"30","Goa","8","9681.73 (9835.74)","6860.9"
"31","Puducherry","6","8358.94 (8576.63)","4021.18"
"32","Dadra & Nagar Haveli and Daman & Diu","5","114864.06 (115648.07)","95774.45"
"33","Andaman & Nicobar","4","863.85 (1291.36)","0"
"34","Ladakh","4","1664.27 (1824.27)","1326.9"
