"Sector Wise Details"

"1","Roads & Highways","1108","1023675.67 (1051567.26)","323514.82"
"2","Railways","247","693607.15 (844707.36)","563949.55"
"3","Coal","120","190252.37 (187990.36)","48934.69"
"4","Oil & Gas","96","367211.08 (395613.29)","191970.51"
"5","Transmission & Distribution","69","203950.25 (209913.82)","62393.44"
"6","Water Resources","41","117826.11 (221647.32)","157621.1"
"7","Electricity Generation","38","310690.33 (369473.34)","159125.31"
"8","Healthcare","37","21179.22 (25630.61)","9929.58"
"9","Education","30","15617.88 (15065.7)","8502.74"
"10","Waste & Water","30","9428.41 (9496.94)","5598.35"
"11","Urban Public Transport","28","335215.64 (355797.17)","208407.32"
"12","Aviation & Aviation Infrastructure","26","21600.76 (22814.76)","10079.87"
"13","Steel","19","18161.41 (21399.7)","9471.99"
"14","Energy Storage","17","81207.16 (120038.39)","98707.47"
"15","Telecommunication","14","151923.46 (274015.99)","77298.07"
"16","Shipping","9","15124.41 (15290.87)","9338.98"
"17","Metals & Mining","7","10044.36 (12480.73)","7284.31"
"18","Real Estate","6","37591.1 (37582.1)","13929.25"
"19","Construction","2","899.37 (899.37)","232.77"
"20","Inland Waterways","2","5546.18 (5258.15)","4190.19"
"21","Tourism, Hospitality & Wellness","1","573 (1238.05)","545.51"
"22","Logistics Infrastructure","1","763 (763)","430"
